code,nr,gebied,gebiednaam,provincie,WOZ,stedelijkheid,OAD,ligging,abw_totaal,abw_vrijst,abw_tweekap,abw_rijwoni,abw_meergez_laagb,abw_meergez_hoogb,abw_koop,abw_soc_huur,abw_part_huur,abw_1_pers,abw_2_pers,abw_3_pers,aapbw_totaal,aapbw_koop_vrijst,aapbw_koop_tweekap,aapbw_koop_rijwoni,aapbw_koop_meergez_laagb,aapbw_koop_meergez_hoogb,aapbw_soc_huur_vrijst,aapbw_soc_huur_tweekap,aapbw_soc_huur_rijwoni,aapbw_soc_huur_meergez_laagb,aapbw_soc_huur_meergez_hoogb,aapbw_part_huur_vrijst,aapbw_part_huur_tweekap,aapbw_part_huur_rijwoni,aapbw_part_meergez_laagb,aapbw_part_meergez_hoogb
GM0098,21,gemeente,Weststellingwerf,,197,4,681,,11400,0.440,0.157,0.307,0.097,0.000,0.656,0.281,0.063,0.317,0.376,0.307,1.4,1.8,1.5,1.4,0.9,0.9,0.6,1.1,0.9,0.5,0.5,1.2,1.1,1.0,0.6,0.6
GM0106,22,gemeente,Assen,,184,2,1562,,31400,0.111,0.137,0.481,0.203,0.069,0.602,0.281,0.117,0.380,0.335,0.285,1.1,1.7,1.5,1.3,0.9,0.9,1.0,0.8,0.7,0.4,0.4,2.0,1.2,1.0,0.4,0.5
GM0109,23,gemeente,Coevorden,,197,5,497,,15500,0.380,0.225,0.281,0.110,0.004,0.705,0.235,0.060,0.308,0.383,0.309,1.4,1.9,1.6,1.4,1.0,1.0,1.1,1.0,0.8,0.4,0.4,1.5,1.1,1.0,0.6,0.6
GM0114,24,gemeente,Emmen,,163,4,852,,48100,0.254,0.170,0.389,0.137,0.050,0.631,0.285,0.085,0.333,0.364,0.303,1.3,1.8,1.7,1.4,1.0,1.0,1.2,1.0,0.7,0.5,0.5,1.8,1.1,1.0,0.5,0.6
GM0118,25,gemeente,Hoogeveen,,177,3,1199,,24500,0.194,0.153,0.427,0.185,0.042,0.632,0.286,0.082,0.340,0.348,0.312,1.2,1.9,1.6,1.4,1.0,1.0,1.0,1.1,0.8,0.5,0.5,1.3,1.2,1.0,0.6,0.6
GM0119,26,gemeente,Meppel,,200,3,1275,,15400,0.144,0.145,0.473,0.213,0.025,0.588,0.314,0.098,0.358,0.347,0.296,1.2,1.7,1.5,1.4,1.0,1.0,,0.9,0.8,0.5,0.5,1.5,1.3,1.1,0.4,0.4
GM0141,27,gemeente,Almelo,,168,2,1590,,32400,0.132,0.114,0.494,0.212,0.048,0.556,0.349,0.095,0.350,0.328,0.322,1.1,1.8,1.5,1.4,1.0,1.0,0.5,1.0,0.7,0.5,0.5,1.7,1.0,0.9,0.4,0.5
GM0147,28,gemeente,Borne,,243,3,1228,,9700,0.189,0.221,0.460,0.106,0.024,0.699,0.228,0.073,0.269,0.375,0.356,1.3,1.8,1.5,1.5,1.0,1.0,1.0,0.9,0.9,0.5,0.5,1.4,1.2,1.1,0.6,0.5
GM0148,29,gemeente,Dalfsen,,283,4,504,,11600,0.388,0.216,0.306,0.091,0.000,0.750,0.174,0.076,0.264,0.369,0.367,1.5,1.9,1.7,1.5,1.1,1.1,,0.9,0.9,0.5,0.5,1.4,1.2,1.0,0.7,0.7
GM0150,30,gemeente,Deventer,,206,2,1823,,45000,0.102,0.080,0.515,0.253,0.050,0.563,0.303,0.135,0.357,0.333,0.311,1.1,1.8,1.5,1.3,1.0,1.0,0.7,0.9,0.7,0.4,0.4,1.4,1.1,0.9,0.6,0.6
GM0153,31,gemeente,Enschede,,181,2,2157,,72500,0.088,0.131,0.438,0.253,0.090,0.495,0.379,0.126,0.382,0.319,0.299,1.0,1.8,1.4,1.4,1.0,1.0,0.8,0.8,0.8,0.5,0.5,1.4,0.8,0.8,0.4,0.4
GM0158,32,gemeente,Haaksbergen,,235,3,1036,,10300,0.253,0.216,0.401,0.130,0.000,0.695,0.221,0.084,0.294,0.364,0.342,1.4,1.9,1.6,1.5,1.1,1.1,,1.0,0.9,0.4,0.4,1.5,1.3,1.0,0.4,0.4
GM0160,33,gemeente,Hardenberg,,217,4,556,,24200,0.337,0.179,0.361,0.106,0.016,0.712,0.215,0.073,0.274,0.349,0.377,1.5,2.0,1.7,1.5,1.0,1.0,1.5,0.9,0.9,0.5,0.5,1.5,1.3,1.2,0.9,0.9
