code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
GM0096;20;gemeente;Vlieland;;268;5;208;;600;22,3%;19,4%;46,6%;11,7%;0,0%;40,8%;37,8%;21,4%;38,1%;36,2%;25,7%;0,9;1,4;1,4;1,1;;;;0,8;0,7;0,3;;1,0;0,8;0,6;0,5;
GM0098;21;gemeente;Weststellingwerf;;197;4;681;;11400;44,0%;15,7%;30,7%;9,7%;0,0%;65,6%;28,1%;6,3%;31,7%;37,6%;30,7%;1,4;1,8;1,5;1,4;0,9;;0,6;1,1;0,9;0,5;;1,2;1,1;1,0;0,6;
GM0106;22;gemeente;Assen;;184;2;1562;;31400;11,1%;13,7%;48,1%;20,3%;6,9%;60,2%;28,1%;11,7%;38,0%;33,5%;28,5%;1,1;1,7;1,5;1,3;0,9;0,9;1,0;0,8;0,7;0,4;0,5;2,0;1,2;1,0;0,4;0,6
GM0109;23;gemeente;Coevorden;;197;5;497;;15500;38,0%;22,5%;28,1%;11,0%;0,4%;70,5%;23,5%;6,0%;30,8%;38,3%;30,9%;1,4;1,9;1,6;1,4;1,0;;1,1;1,0;0,8;0,4;0,5;1,5;1,1;1,0;0,6;
GM0114;24;gemeente;Emmen;;163;4;852;;48100;25,4%;17,0%;38,9%;13,7%;5,0%;63,1%;28,5%;8,5%;33,3%;36,4%;30,3%;1,3;1,8;1,7;1,4;1,0;1,0;1,2;1,0;0,7;0,5;0,4;1,8;1,1;1,0;0,5;0,7
GM0118;25;gemeente;Hoogeveen;;177;3;1199;;24500;19,4%;15,3%;42,7%;18,5%;4,2%;63,2%;28,6%;8,2%;34,0%;34,8%;31,2%;1,2;1,9;1,6;1,4;1,0;1,0;1,0;1,1;0,8;0,5;0,5;1,3;1,2;1,0;0,6;0,8
GM0119;26;gemeente;Meppel;;200;3;1275;;15400;14,4%;14,5%;47,3%;21,3%;2,5%;58,8%;31,4%;9,8%;35,8%;34,7%;29,6%;1,2;1,7;1,5;1,4;1,0;0,9;;0,9;0,8;0,5;0,5;1,5;1,3;1,1;0,4;0,6
GM0141;27;gemeente;Almelo;;168;2;1590;;32400;13,2%;11,4%;49,4%;21,2%;4,8%;55,6%;34,9%;9,5%;35,0%;32,8%;32,2%;1,1;1,8;1,5;1,4;1,0;1,0;0,5;1,0;0,7;0,5;0,5;1,7;1,0;0,9;0,4;0,7
GM0147;28;gemeente;Borne;;243;3;1228;;9700;18,9%;22,1%;46,0%;10,6%;2,4%;69,9%;22,8%;7,3%;26,9%;37,5%;35,6%;1,3;1,8;1,5;1,5;1,0;0,9;1,0;0,9;0,9;0,5;0,6;1,4;1,2;1,1;0,6;
GM0148;29;gemeente;Dalfsen;;283;4;504;;11600;38,8%;21,6%;30,6%;9,1%;0,0%;75,0%;17,4%;7,6%;26,4%;36,9%;36,7%;1,5;1,9;1,7;1,5;1,1;;;0,9;0,9;0,5;;1,4;1,2;1,0;0,7;
