code,nr,gebied,gebiednaam,provincie,WOZ,stedelijkheid,OAD,ligging,abw_totaal,abw_vrijst,abw_tweekap,abw_rijwoni,abw_meergez_laagb,abw_meergez_hoogb,abw_koop,abw_soc_huur,abw_part_huur,abw_1_pers,abw_2_pers,abw_3_pers,aapbw_totaal,aapbw_koop_vrijst,aapbw_koop_tweekap,aapbw_koop_rijwoni,aapbw_koop_meergez_laagb,aapbw_koop_meergez_hoogb,aapbw_soc_huur_vrijst,aapbw_soc_huur_tweekap,aapbw_soc_huur_rijwoni,aapbw_soc_huur_meergez_laagb,aapbw_soc_huur_meergez_hoogb,aapbw_part_huur_vrijst,aapbw_part_huur_tweekap,aapbw_part_huur_rijwoni,aapbw_part_meergez_laagb,aapbw_part_meergez_hoogb
NL,1,Nederland,Nederland,,,2,2010,,7618900.0,0.138,0.090,0.431,0.334,0.334,0.575,0.292,0.120,0.341,0.339,0.320,1.1,1.8,1.6,1.4,1.0,1.0,0.9,1.0,0.9,0.5,0.5,1.4,1.1,1.0,0.6,0.6
GM0003,2,gemeente,Appingedam,,144,3,1066,,5650.0,0.197,0.182,0.346,0.271,0.271,0.499,0.427,0.069,0.388,0.356,0.257,1.0,1.6,1.4,1.3,1.0,1.0,,0.8,0.8,0.4,0.4,1.0,1.0,1.0,0.3,0.3
GM0010,3,gemeente,Delfzijl,,127,4,678,,11375.0,0.293,0.143,0.374,0.187,0.187,0.634,0.273,0.087,0.359,0.371,0.270,1.2,1.7,1.4,1.3,0.9,0.9,,0.8,0.7,0.3,0.3,2.0,1.0,0.8,0.5,0.5
GM0014,4,gemeente,Groningen,,,1,3267,,113620.0,0.056,0.054,0.303,0.578,0.578,0.410,0.329,0.234,0.460,0.299,0.241,0.8,1.7,1.4,1.2,0.9,0.9,0.6,0.8,0.7,0.4,0.4,1.3,1.0,0.7,0.4,0.4
GM0024,5,gemeente,Loppersum,,154,5,214,,4315.0,0.571,0.170,0.189,0.070,0.070,0.680,0.270,0.045,0.329,0.388,0.283,1.4,1.7,1.5,1.4,0.0,0.0,,0.8,0.8,0.3,0.3,1.4,1.5,1.0,0.9,0.9
GM0034,6,gemeente,Almere,,219,2,1613,,84155.0,0.062,0.030,0.638,0.269,0.269,0.642,0.270,0.082,0.272,0.311,0.416,1.2,1.8,1.7,1.4,1.0,1.0,,0.6,0.8,0.5,0.5,1.1,1.3,1.1,0.7,0.7
GM0037,7,gemeente,Stadskanaal,,161,4,836,,14555.0,0.348,0.129,0.325,0.194,0.194,0.607,0.305,0.077,0.350,0.368,0.281,1.3,1.8,1.6,1.4,0.9,0.9,0.9,0.9,0.7,0.5,0.5,1.2,1.1,1.0,0.4,0.4
GM0047,8,gemeente,Veendam,,143,3,1002,,12470.0,0.282,0.150,0.374,0.193,0.193,0.657,0.247,0.095,0.335,0.373,0.292,1.2,1.8,1.5,1.4,1.1,1.1,0.9,0.7,0.7,0.5,0.5,1.2,0.9,0.9,0.7,0.7
GM0050,9,gemeente,Zeewolde,,254,4,810,,8855.0,0.115,0.076,0.643,0.129,0.129,0.674,0.221,0.059,0.245,0.347,0.408,1.5,2.1,1.9,1.7,1.2,1.2,,,1.0,0.6,0.6,1.5,1.2,1.3,1.0,1.0
GM0059,10,gemeente,Achtkarspelen,,181,5,427,,11815.0,0.453,0.153,0.290,0.100,0.100,0.638,0.309,0.049,0.308,0.347,0.345,1.4,1.8,1.6,1.4,1.1,1.1,1.2,1.1,0.9,0.4,0.4,1.4,1.3,1.0,0.6,0.6
GM0060,11,gemeente,Ameland,,248,5,254,,1580.0,0.582,0.253,0.063,0.076,0.076,0.665,0.000,0.282,0.307,0.367,0.326,1.3,1.6,1.3,1.2,1.7,1.7,,,,0.0,0.0,1.1,0.8,0.8,0.4,0.4
GM0072,12,gemeente,Harlingen,,164,3,1066,,7380.0,0.123,0.123,0.556,0.190,0.190,0.560,0.322,0.106,0.382,0.352,0.266,1.1,1.6,1.4,1.3,1.1,1.1,,0.8,0.6,0.4,0.4,1.2,1.1,0.8,0.4,0.4
GM0074,13,gemeente,Heerenveen,,209,3,1084,,22730.0,0.311,0.153,0.320,0.210,0.210,0.604,0.291,0.093,0.351,0.344,0.304,1.2,1.8,1.5,1.3,0.9,0.9,1.1,1.0,0.8,0.5,0.5,1.3,1.0,1.1,0.6,0.6
GM0080,14,gemeente,Leeuwarden,,156,2,2134,,60585.0,0.114,0.093,0.452,0.333,0.333,0.515,0.290,0.178,0.427,0.319,0.254,0.9,1.7,1.5,1.2,0.9,0.9,0.5,0.9,0.7,0.4,0.4,1.1,0.8,0.7,0.4,0.4
GM0085,15,gemeente,Ooststellingwerf,,199,5,472,,11205.0,0.436,0.170,0.282,0.089,0.089,0.660,0.265,0.047,0.322,0.381,0.297,1.4,1.8,1.6,1.4,0.9,0.9,1.0,1.1,0.9,0.4,0.4,1.5,0.9,1.0,0.6,0.6
GM0086,16,gemeente,Opsterland,,216,5,406,,12715.0,0.485,0.183,0.212,0.116,0.116,0.704,0.224,0.065,0.309,0.362,0.329,1.4,1.9,1.6,1.5,1.1,1.1,1.5,1.0,0.8,0.5,0.5,1.2,0.9,1.1,0.3,0.3
